species,位点,
Ursus thibetanus,青海 白扎林场,0
Ursus thibetanus,黑龙江 双河,0
Ursus thibetanus,甘肃 盐池湾,0
Ursus thibetanus,黑龙江 黑嘴松鸡,0
Ursus thibetanus,青海 东仲林场,0
Ursus thibetanus,吉林 长白山,0
Ursus thibetanus,黑龙江 凉水,0
Ursus thibetanus,浙江 凤阳山-百山祖,0
Ursus thibetanus,浙江 清凉峰,0
Ursus thibetanus,浙江 乌岩岭,0
Ursus thibetanus,四川 小寨子沟,0
Ursus thibetanus,湖南 高望界,0
Ursus thibetanus,河南 太行山猕猴（济源）,0
Ursus thibetanus,河北 小五台山,0
Ursus thibetanus,广东 车八岭,0
Ursus thibetanus,甘肃 插岗梁,0
Ursus thibetanus,福建 戴云山,0
Ursus thibetanus,北京 松山,0
Ursus thibetanus,北京 雾灵山,0
Ursus thibetanus,安徽 九龙峰,0
Ursus thibetanus,安徽 牯牛降,0
Ursus thibetanus,山西 历山,0
Ursus thibetanus,湖南 武陵源,0
Ursus thibetanus,北京 百花山,0
Ursus thibetanus,安徽 鹞落坪,0
Ursus thibetanus,海南 尖峰岭,0
Ursus thibetanus,贵州 茂兰,0
Ursus thibetanus,广西 弄岗,0
Ursus thibetanus,四川 蜂桶寨,0
Ursus thibetanus,四川 柯拉,0
Ursus thibetanus,香港 香港,0
Ursus thibetanus,云南 巍山青华绿孔雀,0
Ursus thibetanus,江西 九连山,0
Ursus thibetanus,黑龙江 丰林,0
Ursus thibetanus,陕西 子午岭,0
Ursus thibetanus,宁夏 贺兰山,0
Ursus thibetanus,新疆 阿尔金山,0
Ursus thibetanus,甘肃 祁连山,0
Ursus thibetanus,新疆 布尔根河狸,0
Ursus thibetanus,陕西 桥山,0
