"BIO2","RUGG","BIO15","BIO12","BIO3","COVER","BIO1","POPU","ELEV","BIO4","PROT"
0.087,0.075,0.057,0.047,0.018,0.013,0.016,0.012,0.01,0.003,0.003
0.144,0.027,0.043,0.02,0.027,0.016,0.023,0.012,0.006,0.004,0.001
0.105,0.03,0.061,0.031,0.042,0.01,0.029,0.012,0.009,0.004,0.002
0.124,0.033,0.029,0.046,0.023,0.035,0.015,0.013,0.007,0.006,0.002
0.097,0.069,0.045,0.035,0.048,0.024,0.018,0.017,0.007,0.01,0.003
0.104,0.072,0.028,0.036,0.013,0.032,0.024,0.011,0.01,0.005,0.001
0.131,0.034,0.028,0.044,0.033,0.028,0.02,0.005,0.015,0.007,0.007
0.087,0.04,0.057,0.033,0.03,0.019,0.026,0.003,0.008,0.012,0.001
0.111,0.063,0.021,0.019,0.04,0.034,0.024,0.008,0.007,0.008,0.001
0.121,0.024,0.034,0.02,0.035,0.012,0.023,0.025,0.009,0.004,0.002
